ID,DATE,ELEMENT,DATA_VALUE,M_FLAG,Q_FLAG,S_FLAG,OBS_TIME
US1TXAS0030,20230210,PRCP,0,,,N,0800
US1TXAS0030,20230211,PRCP,0,,,N,0800
US1TXAS0030,20230212,PRCP,0,,,N,0730
US1TXAS0030,20230213,PRCP,0,,,N,0800
US1TXAS0030,20230214,PRCP,23,,,N,0800
US1TXAS0030,20230215,PRCP,3,,,N,0800
US1TXAS0030,20230216,PRCP,3,,,N,0800
US1TXAS0030,20230217,PRCP,0,,,N,0800
US1TXAS0030,20230224,PRCP,0,,,N,0800
US1TXAS0030,20230225,PRCP,0,T,,N,0800
US1TXAS0030,20230226,PRCP,0,T,,N,0800
US1TXAS0030,20230227,PRCP,0,,,N,0800
US1TXAS0030,20230228,PRCP,0,,,N,0800
US1TXAS0030,20230210,SNOW,0,,,N,0800
US1TXAS0030,20230211,SNOW,0,,,N,0800
US1TXAS0030,20230212,SNOW,0,,,N,0730
US1TXAS0030,20230213,SNOW,0,,,N,0800
US1TXAS0030,20230217,SNOW,0,,,N,0800
US1TXAS0030,20230224,SNOW,0,,,N,0800
US1TXAS0030,20230227,SNOW,0,,,N,0800
US1TXAS0030,20230228,SNOW,0,,,N,0800
US1TXAS0030,20230223,DAPR,6,,,N,0800
US1TXAS0030,20230223,MDPR,0,,,N,0800
US1TXAS0030,20230301,PRCP,0,,,N,0730
US1TXAS0030,20230302,PRCP,5,,,N,0730
US1TXAS0030,20230303,PRCP,43,,,N,0800
US1TXAS0030,20230308,PRCP,0,,,N,0800
US1TXAS0030,20230309,PRCP,0,,,N,0800
US1TXAS0030,20230310,PRCP,0,,,N,0800
US1TXAS0030,20230315,PRCP,0,,,N,0800
US1TXAS0030,20230316,PRCP,0,,,N,0750
US1TXAS0030,20230322,PRCP,25,,,N,0800
US1TXAS0030,20230323,PRCP,0,,,N,0735
US1TXAS0030,20230324,PRCP,0,,,N,0800
US1TXAS0030,20230329,PRCP,0,T,,N,0800
US1TXAS0030,20230330,PRCP,0,,,N,0745
US1TXAS0030,20230331,PRCP,3,,,N,0800
US1TXAS0030,20230301,SNOW,0,,,N,0730
US1TXAS0030,20230308,SNOW,0,,,N,0800
US1TXAS0030,20230309,SNOW,0,,,N,0800
US1TXAS0030,20230310,SNOW,0,,,N,0800
US1TXAS0030,20230315,SNOW,0,,,N,0800
US1TXAS0030,20230316,SNOW,0,,,N,0750
US1TXAS0030,20230323,SNOW,0,,,N,0735
US1TXAS0030,20230324,SNOW,0,,,N,0800
US1TXAS0030,20230330,SNOW,0,,,N,0745
US1TXAS0030,20230307,DAPR,4,,,N,0800
US1TXAS0030,20230314,DAPR,4,,,N,0800
US1TXAS0030,20230321,DAPR,4,,,N,0800
US1TXAS0030,20230328,DAPR,4,,,N,0800
US1TXAS0030,20230307,MDPR,0,,,N,0800
US1TXAS0030,20230314,MDPR,0,,,N,0800
US1TXAS0030,20230321,MDPR,257,,,N,0800
US1TXAS0030,20230328,MDPR,76,,,N,0800
US1TXAS0030,20230405,PRCP,0,,,N,0736
US1TXAS0030,20230406,PRCP,305,,,N,0745
US1TXAS0030,20230407,PRCP,373,,,N,0820
US1TXAS0030,20230412,PRCP,0,,,N,0800
US1TXAS0030,20230413,PRCP,0,,,N,0715
US1TXAS0030,20230414,PRCP,0,,,N,0800
US1TXAS0030,20230419,PRCP,18,,,N,0800
US1TXAS0030,20230420,PRCP,0,T,,N,0715
US1TXAS0030,20230421,PRCP,401,,,N,0755
US1TXAS0030,20230427,PRCP,137,,,N,0800
US1TXAS0030,20230428,PRCP,3,,,N,0800
US1TXAS0030,20230429,PRCP,114,,,N,0800
US1TXAS0030,20230430,PRCP,0,,,N,0740
US1TXAS0030,20230405,SNOW,0,,,N,0736
US1TXAS0030,20230412,SNOW,0,,,N,0800
US1TXAS0030,20230413,SNOW,0,,,N,0715
US1TXAS0030,20230414,SNOW,0,,,N,0800
US1TXAS0030,20230430,SNOW,0,,,N,0740
US1TXAS0030,20230404,DAPR,4,,,N,0800
US1TXAS0030,20230411,DAPR,4,,,N,0800
US1TXAS0030,20230418,DAPR,4,,,N,0800
US1TXAS0030,20230426,DAPR,5,,,N,0800
US1TXAS0030,20230404,MDPR,0,,,N,0800
US1TXAS0030,20230411,MDPR,25,,,N,0800
US1TXAS0030,20230418,MDPR,69,,,N,0800
US1TXAS0030,20230426,MDPR,69,,,N,0800
