ID,DATE,ELEMENT,DATA_VALUE,M_FLAG,Q_FLAG,S_FLAG,OBS_TIME
US1TXAT0037,20140406,PRCP,25,,,N,1300
US1TXAT0037,20140407,PRCP,0,,,N,1300
US1TXAT0037,20140408,PRCP,8,,,N,1300
US1TXAT0037,20140409,PRCP,0,,,N,1300
US1TXAT0037,20140410,PRCP,0,,,N,1300
US1TXAT0037,20140411,PRCP,0,,,N,1300
US1TXAT0037,20140412,PRCP,0,,,N,1300
US1TXAT0037,20140413,PRCP,0,,,N,1300
US1TXAT0037,20140414,PRCP,58,,,N,1300
US1TXAT0037,20140415,PRCP,0,,,N,1300
US1TXAT0037,20140416,PRCP,0,,,N,1300
US1TXAT0037,20140417,PRCP,0,,,N,1300
US1TXAT0037,20140418,PRCP,0,,,N,1300
US1TXAT0037,20140419,PRCP,0,,,N,1300
US1TXAT0037,20140420,PRCP,0,,,N,1300
US1TXAT0037,20140421,PRCP,0,,,N,1300
US1TXAT0037,20140423,PRCP,0,,,N,1300
US1TXAT0037,20140424,PRCP,0,,,N,1300
US1TXAT0037,20140425,PRCP,0,,,N,1300
US1TXAT0037,20140426,PRCP,0,,,N,1300
US1TXAT0037,20140427,PRCP,0,,,N,1300
US1TXAT0037,20140428,PRCP,0,,,N,1300
US1TXAT0037,20140429,PRCP,0,,,N,1300
US1TXAT0037,20140430,PRCP,0,,,N,1300
US1TXAT0037,20140407,SNOW,0,,,N,1300
US1TXAT0037,20140409,SNOW,0,,,N,1300
US1TXAT0037,20140410,SNOW,0,,,N,1300
US1TXAT0037,20140411,SNOW,0,,,N,1300
US1TXAT0037,20140412,SNOW,0,,,N,1300
US1TXAT0037,20140413,SNOW,0,,,N,1300
US1TXAT0037,20140415,SNOW,0,,,N,1300
US1TXAT0037,20140416,SNOW,0,,,N,1300
US1TXAT0037,20140417,SNOW,0,,,N,1300
US1TXAT0037,20140418,SNOW,0,,,N,1300
US1TXAT0037,20140419,SNOW,0,,,N,1300
US1TXAT0037,20140420,SNOW,0,,,N,1300
US1TXAT0037,20140421,SNOW,0,,,N,1300
US1TXAT0037,20140423,SNOW,0,,,N,1300
US1TXAT0037,20140424,SNOW,0,,,N,1300
US1TXAT0037,20140425,SNOW,0,,,N,1300
US1TXAT0037,20140426,SNOW,0,,,N,1300
US1TXAT0037,20140427,SNOW,0,,,N,1300
US1TXAT0037,20140428,SNOW,0,,,N,1300
US1TXAT0037,20140429,SNOW,0,,,N,1300
US1TXAT0037,20140430,SNOW,0,,,N,1300
US1TXAT0037,20140501,PRCP,0,,,N,1300
US1TXAT0037,20140502,PRCP,0,,,N,1300
US1TXAT0037,20140504,PRCP,0,,,N,1300
US1TXAT0037,20140505,PRCP,0,,,N,1300
US1TXAT0037,20140506,PRCP,0,,,N,1300
US1TXAT0037,20140507,PRCP,0,,,N,1300
US1TXAT0037,20140508,PRCP,10,,,N,1300
US1TXAT0037,20140509,PRCP,86,,,N,1300
