ID,DATE,ELEMENT,DATA_VALUE,M_FLAG,Q_FLAG,S_FLAG,OBS_TIME
US1TXBEE012,20090924,PRCP,145,,,N,0700
US1TXBEE012,20090925,PRCP,18,,,N,0800
US1TXBEE012,20090926,PRCP,0,,,N,0800
US1TXBEE012,20090927,PRCP,0,,,N,0800
US1TXBEE012,20090928,PRCP,0,,,N,0800
US1TXBEE012,20090929,PRCP,10,,,N,0800
US1TXBEE012,20090930,PRCP,0,,,N,0800
US1TXBEE012,20090926,SNOW,0,,,N,0800
US1TXBEE012,20090927,SNOW,0,,,N,0800
US1TXBEE012,20090928,SNOW,0,,,N,0800
US1TXBEE012,20090930,SNOW,0,,,N,0800
US1TXBEE012,20091001,PRCP,0,,,N,0800
US1TXBEE012,20091002,PRCP,0,,,N,0800
US1TXBEE012,20091003,PRCP,0,,,N,0800
US1TXBEE012,20091004,PRCP,246,,,N,0800
US1TXBEE012,20091005,PRCP,234,,,N,0800
US1TXBEE012,20091006,PRCP,0,,,N,0800
US1TXBEE012,20091007,PRCP,5,,,N,0800
US1TXBEE012,20091008,PRCP,0,,,N,0800
US1TXBEE012,20091009,PRCP,0,,,N,0800
US1TXBEE012,20091010,PRCP,208,,,N,0800
US1TXBEE012,20091011,PRCP,15,,,N,0800
US1TXBEE012,20091012,PRCP,8,,,N,0800
US1TXBEE012,20091013,PRCP,46,,,N,0800
US1TXBEE012,20091014,PRCP,13,,,N,0800
US1TXBEE012,20091015,PRCP,0,,,N,0800
US1TXBEE012,20091016,PRCP,0,,,N,0800
US1TXBEE012,20091017,PRCP,0,,,N,0800
US1TXBEE012,20091018,PRCP,0,,,N,0800
US1TXBEE012,20091019,PRCP,0,,,N,0800
US1TXBEE012,20091020,PRCP,0,,,N,0800
US1TXBEE012,20091021,PRCP,0,,,N,0800
US1TXBEE012,20091022,PRCP,124,,,N,0800
US1TXBEE012,20091023,PRCP,0,,,N,0800
US1TXBEE012,20091024,PRCP,0,,,N,0800
US1TXBEE012,20091025,PRCP,0,,,N,0800
US1TXBEE012,20091026,PRCP,0,,,N,0800
US1TXBEE012,20091027,PRCP,287,,,N,0800
US1TXBEE012,20091028,PRCP,0,,,N,0800
US1TXBEE012,20091029,PRCP,0,,,N,0800
US1TXBEE012,20091030,PRCP,0,,,N,0800
US1TXBEE012,20091031,PRCP,0,,,N,0800
US1TXBEE012,20091001,SNOW,0,,,N,0800
US1TXBEE012,20091002,SNOW,0,,,N,0800
US1TXBEE012,20091003,SNOW,0,,,N,0800
US1TXBEE012,20091006,SNOW,0,,,N,0800
US1TXBEE012,20091008,SNOW,0,,,N,0800
US1TXBEE012,20091009,SNOW,0,,,N,0800
US1TXBEE012,20091015,SNOW,0,,,N,0800
US1TXBEE012,20091016,SNOW,0,,,N,0800
US1TXBEE012,20091017,SNOW,0,,,N,0800
US1TXBEE012,20091018,SNOW,0,,,N,0800
US1TXBEE012,20091019,SNOW,0,,,N,0800
US1TXBEE012,20091020,SNOW,0,,,N,0800
US1TXBEE012,20091021,SNOW,0,,,N,0800
US1TXBEE012,20091023,SNOW,0,,,N,0800
US1TXBEE012,20091024,SNOW,0,,,N,0800
US1TXBEE012,20091025,SNOW,0,,,N,0800
US1TXBEE012,20091026,SNOW,0,,,N,0800
US1TXBEE012,20091028,SNOW,0,,,N,0800
US1TXBEE012,20091029,SNOW,0,,,N,0800
US1TXBEE012,20091030,SNOW,0,,,N,0800
US1TXBEE012,20091031,SNOW,0,,,N,0800
US1TXBEE012,20091101,PRCP,0,,,N,0800
US1TXBEE012,20091102,PRCP,0,,,N,0800
US1TXBEE012,20091103,PRCP,0,,,N,0800
