STATION,mean,median,p05,p95,n
USC00411720,28.401,30.0,13.3,38.9,15556.0
USC00410225,27.587,28.9,12.2,38.3,22552.0
USC00411048,26.362,27.8,10.6,37.2,45249.0
USC00410493,26.077,27.2,8.9,38.3,45127.0
USC00411875,26.069,27.2,10.0,38.3,45452.0
USC00411429,25.975,27.2,10.6,36.7,22825.0
USC00411800,25.835,26.833,8.9,38.3,41877.0
USC00299686,25.829,26.7,10.6,38.3,31070.0
USC00411596,25.728,27.2,9.4,37.2,31778.0
USC00410120,25.648,27.2,7.8,38.9,44344.0
USC00290992,25.504,26.7,8.9,38.3,26133.0
USC00410394,25.28,26.7,6.7,38.9,23390.0
USC00290600,25.246,26.7,8.3,37.8,42827.0
USC00411246,25.008,26.1,8.3,37.2,14169.0
USC00167738,24.9,26.1,8.3,36.1,18496.0
USC00411128,23.955,25.6,5.6,36.7,26495.0
USC00340256,23.858,25.0,6.7,36.7,37697.0
USC00298596,23.515,24.4,6.1,37.2,18460.0
USC00299156,23.271,24.4,5.6,36.7,44068.0
USC00037488,23.262,24.4,5.6,36.7,37351.0
USC00411430,23.212,24.4,5.6,36.1,27656.0
USC00411715,23.178,23.9,10.6,32.8,28679.0
USC00292030,23.083,23.9,5.6,36.7,32318.0
USC00030832,22.874,24.4,5.0,36.7,17317.0
USC00036928,22.858,23.9,5.0,36.7,46709.0
USC00291963,22.715,23.9,5.6,35.6,28056.0
USC00030798,22.547,23.9,4.4,36.7,21751.0
USC00035018,22.481,23.9,5.0,36.1,14414.0
USC00340567,22.293,23.3,5.6,35.0,14500.0
USC00034756,22.156,23.3,5.0,35.0,48821.0
USC00411033,22.096,23.3,4.4,35.6,22263.0
USC00290377,21.652,22.8,3.9,35.6,32458.0
USC00297226,21.64,22.8,4.4,35.0,24235.0
USC00032930,21.412,22.8,3.3,35.0,46629.0
USC00290245,20.28,21.1,4.4,33.9,26586.0
USC00296619,19.581,20.6,1.7,33.3,35470.0
USC00296687,19.504,20.6,2.2,33.3,25459.0
USC00294369,19.37,20.0,4.4,32.2,40805.0
USC00290041,18.76,19.4,2.8,32.8,24761.0
USC00291813,18.637,19.4,2.8,31.1,43779.0
USC00298085,18.534,19.4,2.2,32.2,19621.0
USC00296275,17.311,18.3,2.2,29.4,22567.0
USC00291931,14.482,15.0,1.7,25.0,13842.0
